"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"1",1009,6,100,1000,4994,1,"true","java",0,39.2611666666667
"2",1010,6,100,1000,4994,1,"true","beagle_CPU",0,25.0396166666667
"3",1011,6,100,1000,4994,1,"true","beagle_SSE",0,24.9602166666667
"4",1012,6,100,1000,4994,2,"true","java",0,21.1978166666667
"5",1013,6,100,1000,4994,2,"true","beagle_CPU",0,19.5941833333333
"6",1014,6,100,1000,4994,2,"true","beagle_SSE",0,25.9876833333333
"7",1015,6,100,1000,4994,4,"true","java",0,18.5930833333333
"8",1016,6,100,1000,4994,4,"true","beagle_CPU",0,15.45065
"9",1017,6,100,1000,4994,4,"true","beagle_SSE",0,14.4382333333333
"10",1018,6,100,1000,4994,6,"true","java",0,10.1730333333333
"11",1019,6,100,1000,4994,6,"true","beagle_CPU",0,12.6844333333333
"12",1020,6,100,1000,4994,6,"true","beagle_SSE",0,13.893
"13",1021,6,100,1000,4994,8,"true","java",0,15.4631333333333
"14",1022,6,100,1000,4994,8,"true","beagle_CPU",0,9.58526666666667
"15",1023,6,100,1000,4994,8,"true","beagle_SSE",0,14.4626
"16",1024,6,100,1000,4994,1,"true","beagle_GPU",1,6.24265
"17",1025,6,100,1000,4994,1,"true","beagle_GPU",2,6.22571666666667
"18",1026,6,100,1000,4994,1,"true","beagle_GPU",4,5.89861666666667
"19",1027,6,100,1000,4994,1,"false","java",0,39.1036833333333
"20",1028,6,100,1000,4994,1,"false","beagle_CPU",0,19.9546166666667
"21",1029,6,100,1000,4994,1,"false","beagle_SSE",0,20.8934166666667
"22",1030,6,100,1000,4994,2,"false","java",0,20.9485833333333
"23",1031,6,100,1000,4994,2,"false","beagle_CPU",0,18.00045
"24",1032,6,100,1000,4994,2,"false","beagle_SSE",0,12.5469333333333
"25",1033,6,100,1000,4994,4,"false","java",0,16.9742666666667
"26",1034,6,100,1000,4994,4,"false","beagle_CPU",0,12.5191833333333
"27",1035,6,100,1000,4994,4,"false","beagle_SSE",0,8.11195
"28",1036,6,100,1000,4994,6,"false","java",0,13.6233333333333
"29",1037,6,100,1000,4994,6,"false","beagle_CPU",0,15.3278666666667
"30",1038,6,100,1000,4994,6,"false","beagle_SSE",0,14.4979666666667
"31",1039,6,100,1000,4994,8,"false","java",0,11.1424166666667
"32",1040,6,100,1000,4994,8,"false","beagle_CPU",0,7.28356666666667
"33",1041,6,100,1000,4994,8,"false","beagle_SSE",0,6.94006666666667
"34",1042,6,100,1000,4994,1,"false","beagle_GPU",1,6.2183
"35",1043,6,100,1000,4994,1,"false","beagle_GPU",2,6.06633333333333
"36",1044,6,100,1000,4994,1,"false","beagle_GPU",4,5.86248333333333
