"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"33",33,1,20,500,409,8,"false","beagle_SSE",0,0.349683333333333
"14",50,1,20,1000,797,8,"true","beagle_CPU",0,0.624266666666667
"17",89,1,20,3000,2208,1,"true","beagle_GPU",2,0.818133333333333
"35",143,1,20,9000,6245,1,"false","beagle_GPU",2,0.929516666666667
"171",161,1,250,500,437,1,"true","beagle_GPU",2,2.16081666666667
"351",215,1,250,1000,864,1,"false","beagle_GPU",2,2.22196666666667
"36",252,1,250,3000,2518,1,"false","beagle_GPU",4,2.71565
"172",269,1,250,9000,7378,1,"true","beagle_GPU",2,3.23226666666667
"352",323,1,1000,500,455,1,"false","beagle_GPU",2,9.39385
"173",341,1,1000,1000,892,1,"true","beagle_GPU",2,9.02536666666667
"18",378,1,1000,3000,2583,1,"true","beagle_GPU",4,12.0578333333333
"181",414,1,1000,9000,7757,1,"true","beagle_GPU",4,15.1218166666667
"331",465,3,20,100,270,8,"false","beagle_SSE",0,0.5695
"332",573,3,20,500,1222,8,"false","beagle_SSE",0,1.03378333333333
"12",660,3,20,1000,2362,6,"true","beagle_SSE",0,1.3117
"32",788,3,100,100,271,8,"false","beagle_CPU",0,1.12516666666667
"353",899,3,100,500,1304,1,"false","beagle_GPU",2,2.02375
"16",988,3,100,1000,2516,1,"true","beagle_GPU",1,2.40063333333333
"182",1098,3,250,100,275,1,"true","beagle_GPU",4,2.91086666666667
"361",1224,3,250,500,1303,1,"false","beagle_GPU",4,3.70373333333333
"34",1330,3,250,1000,2596,1,"false","beagle_GPU",1,4.75225
"7",475,6,20,100,530,4,"true","java",0,0.858383333333333
"183",594,6,20,500,2439,1,"true","beagle_GPU",4,1.72448333333333
"141",698,6,20,1000,4719,8,"true","beagle_CPU",0,2.31583333333333
"354",827,6,100,100,539,1,"false","beagle_GPU",2,2.38276666666667
"341",934,6,100,500,2581,1,"false","beagle_GPU",1,3.3771
"362",1044,6,100,1000,4994,1,"false","beagle_GPU",4,5.86248333333333
"28",1144,6,250,100,549,6,"false","java",0,3.27536666666667
"355",1259,6,250,500,2610,1,"false","beagle_GPU",2,5.66888333333333
"363",1368,6,250,1000,5201,1,"false","beagle_GPU",4,6.80881666666667
"25",529,9,20,100,781,4,"false","java",0,1.03931666666667
"9",621,9,20,500,3647,4,"true","beagle_SSE",0,2.21033333333333
"11",731,9,20,1000,7017,6,"true","beagle_CPU",0,2.47581666666667
"8",836,9,100,100,807,4,"true","beagle_CPU",0,2.6381
"121",948,9,100,500,3857,6,"true","beagle_SSE",0,5.91888333333333
"364",1080,9,100,1000,7508,1,"false","beagle_GPU",4,6.22125
"365",1188,9,250,100,825,1,"false","beagle_GPU",4,4.8448
"184",1278,9,250,500,3923,1,"true","beagle_GPU",4,7.46696666666667
"366",1404,9,250,1000,7780,1,"false","beagle_GPU",4,8.13336666666667
