"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"33",33,1,20,500,409,8,"false","beagle_SSE",0,0.349683333333333
"36",36,1,20,500,409,1,"false","beagle_GPU",4,0.669766666666667
"14",50,1,20,1000,797,8,"true","beagle_CPU",0,0.624266666666667
"35",71,1,20,1000,797,1,"false","beagle_GPU",2,0.674866666666667
"12",84,1,20,3000,2208,6,"true","beagle_SSE",0,1.57813333333333
"17",89,1,20,3000,2208,1,"true","beagle_GPU",2,0.818133333333333
"331",141,1,20,9000,6245,8,"false","beagle_SSE",0,4.42773333333333
"351",143,1,20,9000,6245,1,"false","beagle_GPU",2,0.929516666666667
"26",170,1,250,500,437,4,"false","beagle_CPU",0,2.21751666666667
"171",161,1,250,500,437,1,"true","beagle_GPU",2,2.16081666666667
"32",212,1,250,1000,864,8,"false","beagle_CPU",0,3.86353333333333
"352",215,1,250,1000,864,1,"false","beagle_GPU",2,2.22196666666667
"141",230,1,250,3000,2518,8,"true","beagle_CPU",0,11.0183
"361",252,1,250,3000,2518,1,"false","beagle_GPU",4,2.71565
"11",263,1,250,9000,7378,6,"true","beagle_CPU",0,27.6201166666667
"172",269,1,250,9000,7378,1,"true","beagle_GPU",2,3.23226666666667
"27",315,1,1000,500,455,4,"false","beagle_SSE",0,11.6735166666667
"353",323,1,1000,500,455,1,"false","beagle_GPU",2,9.39385
"142",338,1,1000,1000,892,8,"true","beagle_CPU",0,19.6066166666667
"173",341,1,1000,1000,892,1,"true","beagle_GPU",2,9.02536666666667
"21",381,1,1000,3000,2583,1,"false","beagle_SSE",0,48.56745
"18",378,1,1000,3000,2583,1,"true","beagle_GPU",4,12.0578333333333
"111",407,1,1000,9000,7757,6,"true","beagle_CPU",0,133.55
"181",414,1,1000,9000,7757,1,"true","beagle_GPU",4,15.1218166666667
"332",465,3,20,100,270,8,"false","beagle_SSE",0,0.5695
"354",467,3,20,100,270,1,"false","beagle_GPU",2,1.1886
"333",573,3,20,500,1222,8,"false","beagle_SSE",0,1.03378333333333
"362",576,3,20,500,1222,1,"false","beagle_GPU",4,1.24718333333333
"121",660,3,20,1000,2362,6,"true","beagle_SSE",0,1.3117
"363",684,3,20,1000,2362,1,"false","beagle_GPU",4,1.36425
"321",788,3,100,100,271,8,"false","beagle_CPU",0,1.12516666666667
"34",790,3,100,100,271,1,"false","beagle_GPU",1,1.77113333333333
"29",893,3,100,500,1304,6,"false","beagle_CPU",0,2.323
"355",899,3,100,500,1304,1,"false","beagle_GPU",2,2.02375
"8",980,3,100,1000,2516,4,"true","beagle_CPU",0,5.0476
"16",988,3,100,1000,2516,1,"true","beagle_GPU",1,2.40063333333333
"334",1113,3,250,100,275,8,"false","beagle_SSE",0,3.185
"182",1098,3,250,100,275,1,"true","beagle_GPU",4,2.91086666666667
"335",1221,3,250,500,1303,8,"false","beagle_SSE",0,6.79706666666667
"364",1224,3,250,500,1303,1,"false","beagle_GPU",4,3.70373333333333
"30",1326,3,250,1000,2596,6,"false","beagle_SSE",0,8.93386666666667
"341",1330,3,250,1000,2596,1,"false","beagle_GPU",1,4.75225
"7",475,6,20,100,530,4,"true","java",0,0.858383333333333
"365",504,6,20,100,530,1,"false","beagle_GPU",4,1.55693333333333
"143",590,6,20,500,2439,8,"true","beagle_CPU",0,1.84648333333333
"183",594,6,20,500,2439,1,"true","beagle_GPU",4,1.72448333333333
"144",698,6,20,1000,4719,8,"true","beagle_CPU",0,2.31583333333333
"366",720,6,20,1000,4719,1,"false","beagle_GPU",4,4.94133333333333
"10",802,6,100,100,539,6,"true","java",0,2.43428333333333
"356",827,6,100,100,539,1,"false","beagle_GPU",2,2.38276666666667
"322",932,6,100,500,2581,8,"false","beagle_CPU",0,4.54513333333333
"342",934,6,100,500,2581,1,"false","beagle_GPU",1,3.3771
"336",1041,6,100,1000,4994,8,"false","beagle_SSE",0,6.94006666666667
"367",1044,6,100,1000,4994,1,"false","beagle_GPU",4,5.86248333333333
"28",1144,6,250,100,549,6,"false","java",0,3.27536666666667
"368",1152,6,250,100,549,1,"false","beagle_GPU",4,3.83186666666667
"145",1238,6,250,500,2610,8,"true","beagle_CPU",0,10.5191333333333
"357",1259,6,250,500,2610,1,"false","beagle_GPU",2,5.66888333333333
"13",1345,6,250,1000,5201,8,"true","java",0,16.2338166666667
"369",1368,6,250,1000,5201,1,"false","beagle_GPU",4,6.80881666666667
"25",529,9,20,100,781,4,"false","java",0,1.03931666666667
"358",539,9,20,100,781,1,"false","beagle_GPU",2,2.10631666666667
"9",621,9,20,500,3647,4,"true","beagle_SSE",0,2.21033333333333
"359",647,9,20,500,3647,1,"false","beagle_GPU",2,4.84013333333333
"112",731,9,20,1000,7017,6,"true","beagle_CPU",0,2.47581666666667
"3610",756,9,20,1000,7017,1,"false","beagle_GPU",4,6.3184
"81",836,9,100,100,807,4,"true","beagle_CPU",0,2.6381
"343",862,9,100,100,807,1,"false","beagle_GPU",1,3.36861666666667
"122",948,9,100,500,3857,6,"true","beagle_SSE",0,5.91888333333333
"3611",972,9,100,500,3857,1,"false","beagle_GPU",4,6.60083333333333
"146",1058,9,100,1000,7508,8,"true","beagle_CPU",0,11.27535
"3612",1080,9,100,1000,7508,1,"false","beagle_GPU",4,6.22125
"91",1161,9,250,100,825,4,"true","beagle_SSE",0,6.05693333333333
"3613",1188,9,250,100,825,1,"false","beagle_GPU",4,4.8448
"147",1274,9,250,500,3923,8,"true","beagle_CPU",0,13.0279666666667
"184",1278,9,250,500,3923,1,"true","beagle_GPU",4,7.46696666666667
"15",1383,9,250,1000,7780,8,"true","beagle_SSE",0,21.4329333333333
"3614",1404,9,250,1000,7780,1,"false","beagle_GPU",4,8.13336666666667
