"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"19",19,1,20,500,409,1,"false","java",0,1.23865
"33",33,1,20,500,409,8,"false","beagle_SSE",0,0.349683333333333
"191",55,1,20,1000,797,1,"false","java",0,2.24683333333333
"14",50,1,20,1000,797,8,"true","beagle_CPU",0,0.624266666666667
"1",73,1,20,3000,2208,1,"true","java",0,6.5468
"17",89,1,20,3000,2208,1,"true","beagle_GPU",2,0.818133333333333
"4",112,1,20,9000,6245,2,"true","java",0,18.5478166666667
"35",143,1,20,9000,6245,1,"false","beagle_GPU",2,0.929516666666667
"192",163,1,250,500,437,1,"false","java",0,11.5158166666667
"171",161,1,250,500,437,1,"true","beagle_GPU",2,2.16081666666667
"11",181,1,250,1000,864,1,"true","java",0,13.7193666666667
"351",215,1,250,1000,864,1,"false","beagle_GPU",2,2.22196666666667
"193",235,1,250,3000,2518,1,"false","java",0,32.5732666666667
"36",252,1,250,3000,2518,1,"false","beagle_GPU",4,2.71565
"41",256,1,250,9000,7378,2,"true","java",0,399.767383333333
"172",269,1,250,9000,7378,1,"true","beagle_GPU",2,3.23226666666667
"12",289,1,1000,500,455,1,"true","java",0,286.527333333333
"352",323,1,1000,500,455,1,"false","beagle_GPU",2,9.39385
"13",325,1,1000,1000,892,1,"true","java",0,220.3866
"173",341,1,1000,1000,892,1,"true","beagle_GPU",2,9.02536666666667
"131",373,1,1000,3000,2583,8,"true","java",0,846.8
"18",378,1,1000,3000,2583,1,"true","beagle_GPU",4,12.0578333333333
"15",397,1,1000,9000,7757,1,"true","java",0,2383.82686666667
"181",414,1,1000,9000,7757,1,"true","beagle_GPU",4,15.1218166666667
"132",445,3,20,100,270,8,"true","java",0,1.4031
"331",465,3,20,100,270,8,"false","beagle_SSE",0,0.5695
"194",559,3,20,500,1222,1,"false","java",0,3.51436666666667
"332",573,3,20,500,1222,8,"false","beagle_SSE",0,1.03378333333333
"16",649,3,20,1000,2362,1,"true","java",0,7.20351666666667
"121",660,3,20,1000,2362,6,"true","beagle_SSE",0,1.3117
"31",787,3,100,100,271,8,"false","java",0,2.99595
"32",788,3,100,100,271,8,"false","beagle_CPU",0,1.12516666666667
"110",865,3,100,500,1304,1,"true","java",0,11.0197333333333
"353",899,3,100,500,1304,1,"false","beagle_GPU",2,2.02375
"111",973,3,100,1000,2516,1,"true","java",0,20.84385
"161",988,3,100,1000,2516,1,"true","beagle_GPU",1,2.40063333333333
"2",1082,3,250,100,275,1,"true","beagle_CPU",0,9.82098333333333
"182",1098,3,250,100,275,1,"true","beagle_GPU",4,2.91086666666667
"195",1207,3,250,500,1303,1,"false","java",0,26.6433833333333
"361",1224,3,250,500,1303,1,"false","beagle_GPU",4,3.70373333333333
"112",1297,3,250,1000,2596,1,"true","java",0,47.0295166666667
"34",1330,3,250,1000,2596,1,"false","beagle_GPU",1,4.75225
"21",470,6,20,100,530,1,"true","beagle_CPU",0,2.06318333333333
"7",475,6,20,100,530,4,"true","java",0,0.858383333333333
"211",597,6,20,500,2439,1,"false","beagle_SSE",0,7.0839
"183",594,6,20,500,2439,1,"true","beagle_GPU",4,1.72448333333333
"113",685,6,20,1000,4719,1,"true","java",0,14.41705
"141",698,6,20,1000,4719,8,"true","beagle_CPU",0,2.31583333333333
"212",813,6,100,100,539,1,"false","beagle_SSE",0,8.0872
"354",827,6,100,100,539,1,"false","beagle_GPU",2,2.38276666666667
"196",919,6,100,500,2581,1,"false","java",0,20.4863166666667
"341",934,6,100,500,2581,1,"false","beagle_GPU",1,3.3771
"114",1009,6,100,1000,4994,1,"true","java",0,39.2611666666667
"362",1044,6,100,1000,4994,1,"false","beagle_GPU",4,5.86248333333333
"213",1137,6,250,100,549,1,"false","beagle_SSE",0,20.7918
"28",1144,6,250,100,549,6,"false","java",0,3.27536666666667
"115",1225,6,250,500,2610,1,"true","java",0,85.9176666666667
"355",1259,6,250,500,2610,1,"false","beagle_GPU",2,5.66888333333333
"197",1351,6,250,1000,5201,1,"false","java",0,80.8030666666667
"363",1368,6,250,1000,5201,1,"false","beagle_GPU",4,6.80881666666667
"5",509,9,20,100,781,2,"true","beagle_CPU",0,4.61666666666667
"25",529,9,20,100,781,4,"false","java",0,1.03931666666667
"3",615,9,20,500,3647,1,"true","beagle_SSE",0,12.4254833333333
"9",621,9,20,500,3647,4,"true","beagle_SSE",0,2.21033333333333
"198",739,9,20,1000,7017,1,"false","java",0,20.9058166666667
"116",731,9,20,1000,7017,6,"true","beagle_CPU",0,2.47581666666667
"22",830,9,100,100,807,1,"true","beagle_CPU",0,11.47985
"8",836,9,100,100,807,4,"true","beagle_CPU",0,2.6381
"23",938,9,100,500,3857,1,"true","beagle_CPU",0,32.8999166666667
"122",948,9,100,500,3857,6,"true","beagle_SSE",0,5.91888333333333
"117",1045,9,100,1000,7508,1,"true","java",0,55.8451333333333
"364",1080,9,100,1000,7508,1,"false","beagle_GPU",4,6.22125
"37",1155,9,250,100,825,1,"true","beagle_SSE",0,18.2062833333333
"365",1188,9,250,100,825,1,"false","beagle_GPU",4,4.8448
"199",1279,9,250,500,3923,1,"false","java",0,73.0940666666667
"184",1278,9,250,500,3923,1,"true","beagle_GPU",4,7.46696666666667
"1910",1387,9,250,1000,7780,1,"false","java",0,115.153933333333
"366",1404,9,250,1000,7780,1,"false","beagle_GPU",4,8.13336666666667
