"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"19",19,1,20,500,409,1,"false","java",0,1.23865
"33",33,1,20,500,409,8,"false","beagle_SSE",0,0.349683333333333
"191",55,1,20,1000,797,1,"false","java",0,2.24683333333333
"14",50,1,20,1000,797,8,"true","beagle_CPU",0,0.624266666666667
"1",73,1,20,3000,2208,1,"true","java",0,6.5468
"12",84,1,20,3000,2208,6,"true","beagle_SSE",0,1.57813333333333
"4",112,1,20,9000,6245,2,"true","java",0,18.5478166666667
"331",141,1,20,9000,6245,8,"false","beagle_SSE",0,4.42773333333333
"192",163,1,250,500,437,1,"false","java",0,11.5158166666667
"26",170,1,250,500,437,4,"false","beagle_CPU",0,2.21751666666667
"11",181,1,250,1000,864,1,"true","java",0,13.7193666666667
"32",212,1,250,1000,864,8,"false","beagle_CPU",0,3.86353333333333
"193",235,1,250,3000,2518,1,"false","java",0,32.5732666666667
"141",230,1,250,3000,2518,8,"true","beagle_CPU",0,11.0183
"41",256,1,250,9000,7378,2,"true","java",0,399.767383333333
"111",263,1,250,9000,7378,6,"true","beagle_CPU",0,27.6201166666667
"13",289,1,1000,500,455,1,"true","java",0,286.527333333333
"27",315,1,1000,500,455,4,"false","beagle_SSE",0,11.6735166666667
"15",325,1,1000,1000,892,1,"true","java",0,220.3866
"142",338,1,1000,1000,892,8,"true","beagle_CPU",0,19.6066166666667
"131",373,1,1000,3000,2583,8,"true","java",0,846.8
"21",381,1,1000,3000,2583,1,"false","beagle_SSE",0,48.56745
"16",397,1,1000,9000,7757,1,"true","java",0,2383.82686666667
"112",407,1,1000,9000,7757,6,"true","beagle_CPU",0,133.55
"132",445,3,20,100,270,8,"true","java",0,1.4031
"332",465,3,20,100,270,8,"false","beagle_SSE",0,0.5695
"194",559,3,20,500,1222,1,"false","java",0,3.51436666666667
"333",573,3,20,500,1222,8,"false","beagle_SSE",0,1.03378333333333
"17",649,3,20,1000,2362,1,"true","java",0,7.20351666666667
"121",660,3,20,1000,2362,6,"true","beagle_SSE",0,1.3117
"31",787,3,100,100,271,8,"false","java",0,2.99595
"321",788,3,100,100,271,8,"false","beagle_CPU",0,1.12516666666667
"18",865,3,100,500,1304,1,"true","java",0,11.0197333333333
"29",893,3,100,500,1304,6,"false","beagle_CPU",0,2.323
"110",973,3,100,1000,2516,1,"true","java",0,20.84385
"8",980,3,100,1000,2516,4,"true","beagle_CPU",0,5.0476
"2",1082,3,250,100,275,1,"true","beagle_CPU",0,9.82098333333333
"334",1113,3,250,100,275,8,"false","beagle_SSE",0,3.185
"195",1207,3,250,500,1303,1,"false","java",0,26.6433833333333
"335",1221,3,250,500,1303,8,"false","beagle_SSE",0,6.79706666666667
"113",1297,3,250,1000,2596,1,"true","java",0,47.0295166666667
"30",1326,3,250,1000,2596,6,"false","beagle_SSE",0,8.93386666666667
"22",470,6,20,100,530,1,"true","beagle_CPU",0,2.06318333333333
"7",475,6,20,100,530,4,"true","java",0,0.858383333333333
"211",597,6,20,500,2439,1,"false","beagle_SSE",0,7.0839
"143",590,6,20,500,2439,8,"true","beagle_CPU",0,1.84648333333333
"114",685,6,20,1000,4719,1,"true","java",0,14.41705
"144",698,6,20,1000,4719,8,"true","beagle_CPU",0,2.31583333333333
"212",813,6,100,100,539,1,"false","beagle_SSE",0,8.0872
"10",802,6,100,100,539,6,"true","java",0,2.43428333333333
"196",919,6,100,500,2581,1,"false","java",0,20.4863166666667
"322",932,6,100,500,2581,8,"false","beagle_CPU",0,4.54513333333333
"115",1009,6,100,1000,4994,1,"true","java",0,39.2611666666667
"336",1041,6,100,1000,4994,8,"false","beagle_SSE",0,6.94006666666667
"213",1137,6,250,100,549,1,"false","beagle_SSE",0,20.7918
"28",1144,6,250,100,549,6,"false","java",0,3.27536666666667
"116",1225,6,250,500,2610,1,"true","java",0,85.9176666666667
"145",1238,6,250,500,2610,8,"true","beagle_CPU",0,10.5191333333333
"197",1351,6,250,1000,5201,1,"false","java",0,80.8030666666667
"133",1345,6,250,1000,5201,8,"true","java",0,16.2338166666667
"5",509,9,20,100,781,2,"true","beagle_CPU",0,4.61666666666667
"25",529,9,20,100,781,4,"false","java",0,1.03931666666667
"3",615,9,20,500,3647,1,"true","beagle_SSE",0,12.4254833333333
"9",621,9,20,500,3647,4,"true","beagle_SSE",0,2.21033333333333
"198",739,9,20,1000,7017,1,"false","java",0,20.9058166666667
"117",731,9,20,1000,7017,6,"true","beagle_CPU",0,2.47581666666667
"23",830,9,100,100,807,1,"true","beagle_CPU",0,11.47985
"81",836,9,100,100,807,4,"true","beagle_CPU",0,2.6381
"24",938,9,100,500,3857,1,"true","beagle_CPU",0,32.8999166666667
"122",948,9,100,500,3857,6,"true","beagle_SSE",0,5.91888333333333
"118",1045,9,100,1000,7508,1,"true","java",0,55.8451333333333
"146",1058,9,100,1000,7508,8,"true","beagle_CPU",0,11.27535
"34",1155,9,250,100,825,1,"true","beagle_SSE",0,18.2062833333333
"91",1161,9,250,100,825,4,"true","beagle_SSE",0,6.05693333333333
"199",1279,9,250,500,3923,1,"false","java",0,73.0940666666667
"147",1274,9,250,500,3923,8,"true","beagle_CPU",0,13.0279666666667
"1910",1387,9,250,1000,7780,1,"false","java",0,115.153933333333
"151",1383,9,250,1000,7780,8,"true","beagle_SSE",0,21.4329333333333
